Name,Address,City,State,Zip,Large or Small
Albertsons,2550 32nd Ave W,Seattle,WA,98199,Large
Albertsons,13050 Aurora Ave N,Seattle,WA,98133,Large
Arby's,2505 4th Ave,Seattle,WA,98121,Large
Arby's,10733 Meridian Ave N,Seattle,WA,98133,Large
Arby's,2425 4th Ave S,Seattle,WA,98134,Large
Arby's,601 S Michigan St,Seattle,WA,98108,Large
Blue Water Taco Grill,1501 4th Ave,Seattle,WA,98101,Small
Blue Water Taco Grill,1000 2nd Ave,Seattle,WA,98104,Small
Blue Water Taco Grill,1001 4th Ave,Seattle,WA,98154,Small
Blue Water Taco Grill,1213 Madison St,Seattle,WA,98104,Small
Blue Water Taco Grill,1730 Minor Ave,Seattle,WA,98101,Small
Blue Water Taco Grill,2962 1st Ave S,Seattle,WA,98134,Small
Blue Water Taco Grill,515 Union St,Seattle,WA,98101,Small
Blue Water Taco Grill,600 University St,Seattle,WA,98101,Small
Burger King,13241 Aurora Ave N,Seattle,WA,98133,Large
Burger King,1432 NW Market St,Seattle,WA,98107,Large
Burger King,14340 15th Ave NE,Seattle,WA,98125,Large
Burger King,2021 Rainier Ave S,Seattle,WA,98144,Large
Burger King,3301 4th Ave S,Seattle,WA,98134,Large
Caffe Appassionato,801 Alaskan Way,Seattle,WA,98104,
Caffe Appassionato,4001 21st Ave W,Seattle,WA,98199,
Caffe Appassionato,1218 N 45th St,Seattle,WA,98103,
Caffe Ladro,108 Union St,Seattle,WA,98101,Small
Caffe Ladro,1800 9th Ave,Seattle,WA,98101,Small
Caffe Ladro,7011 California Ave SW,Seattle,WA,98136,Small
Caffe Ladro,2205 Queen Anne Ave N,Seattle,WA,98109,Small
Caffe Ladro,435 15th Ave E,Seattle,WA,98112,Small
Caffe Ladro,452 N 36th St,Seattle,WA,98103,Small
Caffe Ladro,600 Queen Anne Ave N,Seattle,WA,98109,Small
Caffe Ladro,801 Pine St,Seattle,WA,98101,Small
Caffe Vita,1005 E Pike St,Seattle,WA,98122,Small
Caffe Vita,125 Prefontaine Pl S,Seattle,WA,98104,Small
Caffe Vita,4301 Fremont Ave N,Seattle,WA,98103,Small
Caffe Vita,5028 Wilson Ave S,Seattle,WA,98118,Small
Caffe Vita,7402 Greenwood Ave N,Seattle,WA,98103,Small
Caffe Vita,813 5th Ave N,Seattle,WA,98109,Small
Cherry Street Coffee,103 Cherry St,Seattle,WA,98104,Small
